query,lat,lon
"BAHIA DE CARAQUEZ, SUCRE, MANABI, Ecuador",-0.5999649,-80.423572
"JARAMIJO, JARAMIJO, MANABI, Ecuador",-0.9743883,-80.6134583
"PAJAN, PAJAN, MANABI, Ecuador",-1.5540897,-80.4281703
"12 DE MARZO, PORTOVIEJO, MANABI, Ecuador",-1.0601853,-80.4456456
"LEONIDAS PLAZA GUTIERREZ, SUCRE, MANABI, Ecuador",-0.6243421,-80.4263119
"JIPIJAPA, JIPIJAPA, MANABI, Ecuador",-1.3482956,-80.579195
"EL CARMEN, EL CARMEN, MANABI, Ecuador",-0.2727693,-79.4615689
"4 DE DICIEMBRE, EL CARMEN, MANABI, Ecuador",-0.25018,-79.487587
"CHONE, CHONE, MANABI, Ecuador",-0.6990907,-80.0944512
"PEDERNALES, PEDERNALES, MANABI, Ecuador",0.0701577,-80.0546784
"ELOY ALFARO, MANTA, MANABI, Ecuador",-0.9837296,-80.7055828
"MANTA, MANTA, MANABI, Ecuador",-0.9485853,-80.7191006
"MONTECRISTI, MONTECRISTI, MANABI, Ecuador",-1.0504072,-80.6606834
"TARQUI, MANTA, MANABI, Ecuador",-0.9784464,-80.7243193
"SAN SEBASTIAN, PICHINCHA, MANABI, Ecuador",-1.054711,-80.0132156
"LOS ESTEROS, MANTA, MANABI, Ecuador",-0.9585425,-80.6846573
"SAN LORENZO DE JIPIJAPA, JIPIJAPA, MANABI, Ecuador",-1.3396877,-80.5805895
"CALCETA, BOLIVAR, MANABI, Ecuador",-0.8480934,-80.1640382
"TOSAGUA, TOSAGUA, MANABI, Ecuador",-0.7850128,-80.2338219
"PUERTO LOPEZ, PUERTO LOPEZ, MANABI, Ecuador",-1.5590545,-80.8112663
"PICHINCHA, PICHINCHA, MANABI, Ecuador",-1.0499301,-79.8192941
"SAN ISIDRO, SUCRE, MANABI, Ecuador",-0.3799945,-80.186629
"PORTOVIEJO, PORTOVIEJO, MANABI, Ecuador",-1.05282,-80.4534134
"SANTA RITA, CHONE, MANABI, Ecuador",-0.70145,-80.0778805
"JAMA, JAMA, MANABI, Ecuador",-0.2025684,-80.263196
"CANUTO, CHONE, MANABI, Ecuador",-0.7991861,-80.12913
"MANUEL INOCENCIO PARRALES Y GUALE, JIPIJAPA, MANABI, Ecuador",,
"SANTA MARIA (CAB EN SANTA MARIA), EL CARMEN, MANABI, Ecuador",,
"JUNIN, JUNIN, MANABI, Ecuador",-0.9261304,-80.2055648
"COJIMIES, PEDERNALES, MANABI, Ecuador",0.2161005,-79.8664034
"EL PARAISO LA 14 (CAB EN EL PARAISO), EL CARMEN, MANABI, Ecuador",,
"GUALE, PAJAN, MANABI, Ecuador",-1.6313023,-80.238894
"FLAVIO ALFARO, FLAVIO ALFARO, MANABI, Ecuador",-0.4046108,-79.9049065
"BARRAGANETE, PICHINCHA, MANABI, Ecuador",-0.7777118,-79.6968188
"SAN VICENTE, SAN VICENTE, MANABI, Ecuador",-0.5896279,-80.4084617
"CHIBUNGA, CHONE, MANABI, Ecuador",-0.0980576,-79.8172956
"MACHALILLA, PUERTO LOPEZ, MANABI, Ecuador",-1.4771438,-80.7667523
"VELOZ, RIOBAMBA, CHIMBORAZO, Ecuador",-1.6674779,-78.6536658
"LIZARZABURU, RIOBAMBA, CHIMBORAZO, Ecuador",-1.6494833,-78.6701158
"MALDONADO, RIOBAMBA, CHIMBORAZO, Ecuador",-1.8050375,-78.6055362
"ALAUSI, ALAUSI, CHIMBORAZO, Ecuador",-2.2051374,-78.8453576
"VELASCO, RIOBAMBA, CHIMBORAZO, Ecuador",-1.8178042,-78.5931303
"CUMANDA, CUMANDA, CHIMBORAZO, Ecuador",-2.2108666,-79.103584
"PALLATANGA, PALLATANGA, CHIMBORAZO, Ecuador",-1.9983979,-78.9655799
"LA MATRIZ, GUANO, CHIMBORAZO, Ecuador",-1.6077212,-78.6441195
"RIOBAMBA, RIOBAMBA, CHIMBORAZO, Ecuador",-1.6732765,-78.6482479
"PUNGALA, RIOBAMBA, CHIMBORAZO, Ecuador",-1.6787544,-78.6613781
"SAN LUIS, RIOBAMBA, CHIMBORAZO, Ecuador",-1.709523,-78.6441058
"GUAMOTE, GUAMOTE, CHIMBORAZO, Ecuador",-1.9338171,-78.7110902
"YARUQUIES, RIOBAMBA, CHIMBORAZO, Ecuador",-1.6894393,-78.6771891
"CHAMBO, CHAMBO, CHIMBORAZO, Ecuador",-1.7320661,-78.5951097
"SAN GERARDO DE PACAICAGUAN, GUANO, CHIMBORAZO, Ecuador",-1.6380818,-78.6157904
"CAJABAMBA, COLTA, CHIMBORAZO, Ecuador",-1.7015501,-78.773049
"PENIPE, PENIPE, CHIMBORAZO, Ecuador",-1.5660072,-78.531577
"TIXAN, ALAUSI, CHIMBORAZO, Ecuador",-2.1514328,-78.8034029
"CHUNCHI, CHUNCHI, CHIMBORAZO, Ecuador",-2.2897354,-78.919825
"PALMIRA, GUAMOTE, CHIMBORAZO, Ecuador",-2.0818003,-78.7306259
"SAN ANDRES, GUANO, CHIMBORAZO, Ecuador",-1.5917396,-78.7016854
"CEBADAS, GUAMOTE, CHIMBORAZO, Ecuador",-1.9114887,-78.6435374
"SIBAMBE, ALAUSI, CHIMBORAZO, Ecuador",-2.2253349,-78.8907776
"LICÃN, RIOBAMBA, CHIMBORAZO, Ecuador",-1.6519025,-78.7054988
"QUIMIAG, RIOBAMBA, CHIMBORAZO, Ecuador",-1.6768147,-78.6607528
